UnitCode,UnitName,Faculty,Sypnosis,Preqs,Proh
ACF5080,Management control systems,buseco,"This unit examines key issues in management accounting, focusing on the relationship between management control systems, behavioural implications, and strategy. Topics include the design and evaluation of management control systems, especially behavioural implications, control typologies, and linkages to corporate governance, ethical issues and value creation. Management control issues in not-for-profit organisations will also be examined.",If students are enrolled in course 0503 or B6002 there are no prerequisites. For students enrolled in other courses the prerequisite is ACF5955.,AFF5080
ACF5100,Strategic management accounting,buseco,In today's business environment the accountant engages with the organisation's senior managers and contributes to strategy formulation and implementation. This unit focuses on the concepts and techniques of business strategy formulation and how management accounting information systems act as a corporate control system providing information for strategic decisions.,"If students are enrolled in course 0503 there are no prerequisites. If students are enrolled in course 0748, 0790, 0826, 3843 or 4402 prerequisite is ACF5955.","AFF5100, ACC5100"
ACF5120,Forensic accounting and fraud examination,buseco,"This unit covers theoretical and practical issues relevant to forensic accounting and fraud examination. Forensic accounting is the application of investigative and analytical skills to resolve financial issues in a manner that meets standards required by courts of law. Fraud examination is the process used to resolve allegations of fraud through the accumulation of evidence, including the investigation of systems and internal controls, and the detection of fraud circumstances. The unit examines the investigative process as well as an array of tools and techniques used to investigate financial forensic issues and fraud. Topics include: methods and techniques used by forensic accountants to collect, analyse and report relevant information for supporting cases to be presented in court; the nature, prevention, detection and investigation of different types of fraud, including: financial statement fraud, fraud against the organisation, consumer fraud, and e-commerce fraud.",If students are enrolled in course 0503 there are no prerequisites. For students enrolled in other courses the prerequisite is ACF5953.,"AFF5120, AFX5120, ACF5120, AFF5130"
ACF5130,Financial statement analysis and business valuation,buseco,"The focus of this unit is on the process of business valuation. Topics include capital markets issues, evaluation of industry profitability, accounting analysis including evaluation of earnings management techniques, preparation of pro-forma statements, forecasting, bankruptcy analysis, and business valuation techniques.","If students are enrolled in courses 0503, 0504, 3818, 4401 and 4412 there are no prerequisites. If students are enrolled in course 4435 the prerequisites are ACF5903, ECF5953 and ETF5900. For students enrolled in other courses the prerequisite is ACF5953.","ACC5130, AFF5090, AFF5130"
ACF5150,Financial reporting issues,buseco,"The extent to which accounting theories provide a basis for determining the content of external financial reports and resolving accounting controversies. The subject will provide students with the opportunity to further develop skills of analysis, evaluation and synthesis in the areas of financial accounting and reporting and in the process create an awareness of some current developments in accounting regulation."," If students are enrolled in course 0503 there are no prerequisites.For students enrolled in other courses, the prerequisite is ACF5953.","ACC5150, AFF5150"
ACF5268,Accounting for healthcare managers,buseco,"This unit introduces basic accounting principles for non-accountants. The information requirements of two main groups are examined - external users such as owners or investors; and internal users such as managers. The structure, meaning, analysis and interpretation of financial statements are explored, together with key measures of assessing financial performance. Financial issues confronting healthcare managers, such as budgeting, cost management and performance measurement are also introduced.",,
ACF5320,Business analytics,buseco,"Business analytics and their applications to financial and management decision making will be explored for a range of business situations including: investment; planning; cash flow management; capital budgeting; contract awards; and risk analysis. Analytics covered include: problem structuring; multiple criteria decision making; optimisation; simulation; and data mining. Upon completion of this unit, students are expected to competently use selected analytics, to provide management interpretation of the solutions and to formulate business analyst's recommendations. The unit utilises advanced computer modelling tools available in Microsoft Excel and other modelling software packages.",,"ETC2480, ETF2480, ETW2480, AFX5320"
ACF5330,Integrated systems for business enterprises,buseco,"The objective of this unit is to introduce students to the business aspects of integrated enterprise systems. Enterprise systems are configurable business information systems that integrate information across multiple enterprise functions and business units, support key enterprise processes, and provide an enterprise wide view of business performance. Topics include systems and technology background, business processes and process reengineering, integration of core financial and logistics processes, enterprise wide reporting, and techniques for assessing enterprise productivity and enterprise dynamics. A well-known integrated enterprise system will be extensively used in this unit."," If students are enrolled in course B6002, 0503 or 4401 there are no prerequisites.For students enrolled in other courses, the prerequisite is ACF5904 or ACF5958.","BUS5700, FIT5101, AFX5330"
ACF5350,Applied contemporary accounting,buseco,"This capstone unit requires students to synthesize, analyse, evaluate and apply prior knowledge and skills gained throughout the Master of Accounting in a manner that is designed to enhance their ability to transition to a chosen career path. The unit adopts a thematic approach that examines how external and regulatory factors, decision making processes, and stakeholder expectations interact to drive contemporary organisational success. Collectively, these three interrelated pillars of knowledge provide a comprehensive framework for those aspiring for challenging accounting and finance positions. Content is delivered in a weekly seminar format and draws upon selected case studies that cover topics including strategy, corporate governance, financial reporting and performance management. Given the integrative nature of the unit, assessment is primarily based on a combination of individual and group case study analysis.",ACF5100 or AFF5100 and ACF5120 or AFF5120 and ACF5130 or AFF5130 and ACF5150 or AFF5150,
ACF5510,Integrated accounting,buseco,"Accounting is concerned with the provision, analysis and communication of information to stakeholders. Accountants record, summarise, classify, interpret and communicate both financial and non-financial information. In this capstone unit, students will consolidate their previous learning gained throughout the Master of Professional Accounting course and apply their skills and knowledge directly in a team-based environment. The unit aims to prepare students for an accounting and finance career path. Using a virtual integrated business environment, the unit showcases a thematic approach that allows the interaction of regulatory, economic, social, ethical and global perspectives.","Students must have passed ACF5904 or ACF5958, plus ACF5955.",
ACF5903,Accounting for business,buseco,"This unit examines accounting as an information system.  It will introduce students to accounting principles and reporting practices from a users perspective. The information requirements of two main groups are examined - external users such as owners, shareholders, investors, potential investors, and internal users such as managers. This unit provides students with an introduction to accounting and an understanding of the preparation, presentation and interpretation of financial statements.  In particular, emphasis is placed on an understanding of various business structures including control and reporting aspects of new businesses, processes, practices and policies that enable the financial performance and financial position of an entity, as displayed by the balance sheet, income statement and statement of cash flows, to be measured, analysed and interpreted.  Managerial accounting issues are also presented, with particular emphasis on cost management, cost behaviour, budgeting and performance measurement.",,"AFX9003, GSB9004, MBA9004 AND students enrolled in any of the following courses are prohibited: 0790, 0826, 3843, 4402, 0503, 3850, 4401."
ACF5904,Accounting information systems,buseco,"Because most accounting systems are computerised, accountants must understand software and information systems to turn data into financial information and to develop and evaluate controls. This unit builds an understanding of the way accounting information systems work so that students may use, analyse and contribute to the design of accounting information systems and subsystems. Accordingly, the unit provides students with an understanding of critical information technologies that drive information systems; core business processes that allow an organisation to operate efficiently and effectively; common documentation tools used to diagram and assess business processes and databases; and internal control concepts that can be applied to mitigate risks.",Either ACF5950 or AFX9500,"AFF2851, AFC2851, AFX9520, AFX9521, AFX9580 and ACF5958"
ACF5950,Introductory accounting,buseco,"This unit provides students with an introduction to accounting and an understanding of the preparation, presentation and interpretation of financial statements. In particular, emphasis is placed on accounting processes, practices and policies that enable the financial performance and financial position of an entity, as displayed by the balance sheet, income statement and statement of cash flows, to be measured, analysed and interpreted.",,"AFF9500, AFG9071, ACG5971, AFX9500"
ACF5953,Financial accounting,buseco,"An overview of the Australian financial reporting and regulatory framework for reporting entities, including an analysis of the relevant significant accounting standards, benchmarking against the conceptual framework, professional reporting requirements and stock exchange requirements. Financial reporting for corporate groups (including the impact of control, joint control and significant influence) and selected issues in financial reporting are also explored and benchmarked against the conceptual framework.","If students are enrolled in course 0503 there are no prerequisites. If students are enrolled in course 0748, 0790, 0826, 3843 or 4402 the prerequisite is AFX9500 or ACF5950.","AFF9601, AFG9073, AFX4601, AFX9530"
ACF5955,Management accounting,buseco,"This unit aims to develop students' understanding of the concepts and techniques of management accounting, and skills in the use of management accounting techniques to communicate decision-useful information to management. The unit content includes costing terminology, cost accumulation and recording systems, costing methods for both manufacturing and service-based organisations, how management accounting information informs key product decisions such as pricing and product mix, and the design of budget systems.",AFX9500 or ACF5950,"AFF9611, AFG9072, ACG5972, AFX5611, AFX9550"
ACF5956,Advanced financial accounting,buseco," This unit is one of the final core units in the Master of Professional Accounting, and builds on knowledge and skills gained in earlier units in financial accounting. One of its primary purposes is to introduce students to theories currently being used to assist in understanding the role of financial accounting and reporting in the decision making process of both preparers and users of information. These theories include positive accounting theory, capital markets and systems theories. It also addresses how regulation might influence the production of accounting information.The unit addresses a number of contemporary accounting topics, from both a practical and theoretical perspective. These include intangible assets, social and environmental reporting, financial instruments and foreign currency transactions.","If students are enrolled in course 0503 there are no prerequisites. If students are enrolled in course 0748, 0790, 0826, 3843 or 4402 prerequisite is ACF5953 or AFX9530.","AFF9631, AFG9040, ACG5940, AFX5631, AFX9560"
ACF5957,Auditing and assurance,buseco,"Topics include nature and objectives of auditing; auditing standards; audit reporting; audit expectation gap and legal liability; professional ethics and quality control; audit evidence; audit planning, strategic business risk analysis, materiality, analytical review procedures and audit risk model; study and evaluation of internal control and model; assessing control risk CIS audit techniques, test of transactions and tests of balances, completing the audit and post audit responsibilities; internal auditing and performance auditing, other assurance services and current issues in auditing.","If students are enrolled in course 0503 there are no prerequisites. If students are enrolled in course 0748, 0790, 0826, 3843 or 4402 prerequisite is ACF5953 or AFX5930.","AFG9041, ACG5941, AFF9621, AFX5621, AFX9570"
ACG2020,Cost information for decision making,buseco,"Introduction to management accounting. Topics include: basic terms and concepts, classification and behaviour of costs, recording product cost transactions for manufacturing firms, joint and by-product spoilage and waste, apportioning joint costs for multiple products, activity-based costing and information for management decisions.","Students must have passed AFW1002, ACW1002, ACG1002 or AFG1002 before undertaking this unit.","AFC2131, ACC2131, AFF2391, ACF2391, ACB2020, AFW2020, ACW2020, AFG2020"
ACG2491,Company reporting,buseco,"The current Australian reporting and regulatory framework applicable to reporting entities including an analysis of significant accounting standards, professional reporting requirements and legal and stock exchange requirements. Accounting for corporate groups and issues in financial reporting are also explored.","Students must have passed AFW1000 or ACW1000 and AFW1002 or ACW1002, OR AFG1000 or ACG1000 and AFG1002 or ACG1002 before undertaking this unit.","AFC2120, ACC2120, AFF2491, ACF2491, AFW2491, ACW2491, AFG2491"
ACG2851,Accounting information systems and financial modelling,buseco,"The objective of this unit is two-fold. First, the unit provides students with a broad introduction to accounting information systems and the role technology plays in accounting. The focus will be on an introduction to: enterprise systems; database management; documentation methods; internal controls; and the core business processes found in organisations. Second, the unit focuses on corporate modelling theory; models as decision support tools; types and uses of models; benefits and limitations of models; effective spreadsheet design; auditing spreadsheet models and development of various models using an industry standard spreadsheet.","Students must have passed one of the following before undertaking this unit: AFW1000, ACW1000, AFW1001 (pre 2009), ACG1000 or AFG1000.","AFC2160, AFC2851, ACC2851, AFF2051, AFF2851, ACB2851, ACF2851, AFW2051, BUS1060, BUS3030, AFW2851, ACW2851, AFG2851"
ACG3021,Performance measurement and control,buseco,"Topics include the budget planning process including master budget preparation, budgeting standard costs and variance analysis, responsibility accounting, management by objectives and non-financial performance measurement, divisional performance, transfer pricing issues, program budgeting and other approaches, capital budgeting, strategic planning and control.","Students must have passed AFW2020, ACW2020, ACG2020 or AFG2020 before undertaking this unit.","AFC3131, ACC3131, AFF3431, ACB3021, ACF3431, AFW3021, ACW3021, AFG3021"
ACG3041,Auditing and assurance,buseco,"Overview of auditing, the auditor's legal liabilities, audit process and evidence, the concepts of materiality and risks, study and evaluation of internal control, EDP auditing, audit sampling techniques, the test of transactions cycles and the verification of account balances, auditors reports, and internal and operational auditing.","Students must have passed AFW2491, ACW2491, ACG2491 or AFG2491 before undertaking this unit.","AFC3160, ACC3160, ACC3631, AFF3631, ACF3631, ACB3041, AFW3041, ACW3041, AFG3041"
ACG3050,Advanced financial accounting theory and issues,buseco,"Topics covered by this unit include: Australian accounting environment, theories of financial accounting, accounting for leases; accounting for employee benefits; accounting for financial instruments; cash flow reporting; public sector and agriculture accounting, segment reporting; accounting for EPS; accounting for extractive industries; foreign currency translation; and social and environmental reporting.","Students must have passed AFW2491, ACW2491, ACG2491 or AFG2491 before undertaking this unit.","AFC3120, ACC3120, AFF3491, ACF3491, AFW3050, ACW3050, AFG3050, ACB3050"
ACG5973,Financial accounting,buseco,"Issues include the influences on the nature and objectives of corporate  financial accounting, profit determination and distribution, the reorganisation of share capital, the balance sheet and income and cash flow statements, tax effect accounting, accounting for the acquisition, revaluation and impairment of assets, accounting for consolidations, including  inter-company transactions and outside equity interests.",AFG9071 or ACG5971,"AFX4601, AFX9530, ACX5953, AFG9073, AFF9601"
ACM5903,Accounting for business,buseco,"This unit is an introduction to basic concepts in accounting and finance and the application of these concepts for decision-making by a wide range of potential users (e.g., shareholders, investment analysts, lenders, managers, etc). This unit is appropriate for those students who wish to specialise in accounting and finance, and whose primary interest lies elsewhere in the field of business. This unit will provide a clear understanding of the accounting process and the language of accounting to enable communication with an accounting professional, understand the relevance of accounting information for informed decision-making by a wide range of potential users, and have the ability to analyse and interpret accounting information.",,ACF5903
ACP1100,Introduction to financial accounting,buseco,"This unit provides students with an introduction to financial accounting guided by the Conceptual Framework and Accounting Standards. Emphasis is placed on accounting processes, practices and policies that enable the financial statements to be prepared. Students will integrate theoretical and technical knowledge learned and exercise judgement to explore accounting issues.",,"ACB1002, AFF1121, ACF1121, AFG1002, ACG1002, AFC1030, AFW1002, ACW1002, ACF1100, ACC1100."
ACP1200,Accounting for managers,buseco,"This unit introduces basic accounting concepts to non-accountants. The information requirements of two main groups of information users are examined - external users such as current and potential investors and internal users such as managers. This unit provides an introduction to the structure, meaning, analysis and interpretation of financial statements, in addition to exploring financial issues confronting managers, such as cost and performance measurement and budgeting.",,"ACB1000, ACC1000, ACF1000, ACP1000, ACG1000, ACW1000, ACC1200, ACF1200"
ACP2851,Business information and systems,buseco,"This unit focuses on how knowledge workers deploy information systems and technology to generate knowledge that creates business value for organisations.  These systems provide the information required for operational, tactical, and strategic decision making, and information flows that cross national and inter-organisational borders, and assist organisations with innovative and strategic initiatives and reporting.  Topics covered include: the core business processes found in organisations; transaction processing systems; enterprise systems; database management; systems development and documentation methods; internal controls; e-business; and decision support at the individual knowledge worker and organisational level.","Students must have passed one of the following units: AFP1000, ACP1000, ACP1100, ACP1200.","AFC2851, ACC2851, ACB2851, AFG2851, ACG2851, AFF2851, ACF2851, AFW2851, ACW2851, AFP2851, ACC2400, ACF2400"
ACS1000,Principles of accounting and finance,buseco," This unit is an introduction to basic concepts in accounting and finance and the application of these concepts for decision-making by a wide range of potential users (e.g. shareholders,investment analysts,lenders, managers etc.)This unit should benefit students who wish to specialise in accounting and finance, and will also be of value to students whose primary interest lies elsewhere in the field of business. On completion, students should have a clear understanding of the accounting process and the language of accounting to enable communication with an accounting professional,understand the relevance of accounting information for informed decision-making by a wide range of potential users, and have the ability to analyse and interpret accounting information.Topics covered include the accounting equation, general purpose financial statements,cash and accrual accounting,balance day adjustments,financial statement analysis,interpreting information for managers to use in planning,decision making and control,and an introduction to finance,financial mathematics and investments.",,"AFC1000, ACB1000, ACC1000, ACW1000, AFC1021, AFC1022, AFF1000, ACF1000, AFF1110, AFG1000, ACG1000, AFP1000, ACP1000, AFW1001, AFW1000."
